id,motivo_de_se_considerar_flex,fonteinfo_flex,motivacao,dificuldade,genero,cor_raca,escolaridade
1,nao me considero,amigos,aversao,condenacao moral,mulher_cis,branca,superior
2,reducao do impacto_ambiental,escola_universidade,impacto_ambiental,habito cultural adquirido,homem_cis,branca,doutorado
3,"porque a carne bovina de certa forma me faz mal deixa o intestino ""pesado"" e prefiro nao consumir caso tenham outras opcões",amigos,saude,preco e variedade de outras proteinas vegetais disponiveis,homem_cis,branca,mestrado
4,financeiro,amigos,religiao,consumo desde crianca,pnr,parda,superior
5,pois limitei o consumo para nao desenvolver acido úrico e por ver muitas reportagens sobre os maleficios do alto consumo de carne vermelha,midias,saude,nenhuma,mulher_cis,branca,superior
6,porque tento nao comer carne todo dia,amigos,impacto_ambiental,desconfortos abdominais quando o consumo de fibras e grande,homem_cis,branca,doutorado
7,so como carne quando nao ha alternativa nao tinha pensado ou conhecia essa terminologia sempre me denominei carnivora gosto de carne mas minha filha virou vegetariana entao eu acabei me adaptando e so como carne quando da vontade tipo em marco ate agora comi umas 5 vezes e hj ja e dia 24 de marco,amigos,impacto_ambiental,gostar do sabor,mulher_cis,branca,mestrado
8,ja uns anos desde a adolescencia (nos anos 2000) eu optei por reduzir o consumo de carne vermelha por nao gostar do sabor e de como eu fico depois que consumo o que nao ocorre tanto quando eu como frango porco (um pouco por causa da gordura) e peixe exceto da forma como as comidas sao temperadas ou cozidas so que tambem nao e algo que me faca falta e mesmo assim de vez em quando fico umas semanas sem consumir carne nenhuma,midias,aversao,"na adolescencia e de novo na vida adulta, eu optei cortar total o consumo da carne vermelha. ha algo de fato no sabor delas que nao me agrada e eu nao sei o que e. no entanto, eu tenho traco de anemia falciforme, faco reposicao permanente de ferro e tenho reacao a medicamentos que tem b12. e dai, nessas duas vezes, eu tive uma anemia pesada e, na mais recente, tive que utilizar um remedio (esqueci o nome. 4 vezes no mes, no soro). e, ate hoje, faco uso de um medicamento que contem ferritina e sofro quando preciso tomar b12.
eu acho que eu vivo em uma constante balanca desequilibrada…",mulher_cis,branca,mestrado
9,porque ao longo do tempo entendi que a reducao da carne e nao a extincao dela seriam a melhor solucao tambem vi que e super possivel saudavel e econômico,amigos,impacto_ambiental,nenhuma,mulher_cis,preta,superior
10,por causa da industria de alimentos do aquecimento global mais saude e por causa da expansao da linha dos pastos de agricultura na amazonia,midias,impacto_ambiental,alimentos que possam substituir na dieta por um preco razoavel,homem_cis,branca,mestrado
11,na verdade venho tentando ser vegana ha anos consegui em 2015/2016 o zero consumo de carne depois por ter uma anemia que nao melhora - obs: minha b12 e perfeita - o medico pediu para eu introduzir um pouco de carne eu consumia apenas o frango e sempre do preferencia a ele nunca ingeri peixe outros animais com excecao do boi e frango (apenas partes magras) meu almoco ideal eh arroz e feijao com leguminosass as vezes junto da soja mas eventualmente na semana coloco carne coloquei a quantidade maxima mas tem semanas q eu nem como um dia se quer minha escolha eh porque tenho aversao a carne saber de onde veio/da producao e o que acontece com a vida animal pesquiso direito dos animais e sou mestranda na ufrn cada dia mais esse tema eh presente em minha vida no meu caso nao eh uma transicao para o veganismo eh mais o “o que eu consigo fazer eu faco” ja que me intitular vegana traz uma serie de outras obrigacões,outros,impacto_ambiental,capacidade financeira. acompanhamento nutricional e caro. nem todos sao preparados para isso. medicina ultrapassada que nao reconhece a chance de viver sem carne. ignorância das pessoas que vivem no meu núcleo familiar + o peso de seus comentarios.,mulher_cis,branca,superior
12,preco e saude,essa_pesquisa,saude,rotina e disponibilidade,homem_cis,branca,superior
13,ja fui vegana mas parei quando engravidar quero voltar mas e muito dificil com uma crianca pequena,midias,impacto_ambiental,tempo para cozinhar adequadamente,mulher_cis,branca,mestrado
14,porque busco reduzir o consumo de carne para melhorar a saude,midias,saude,renovar habitos e substituicao,mulher_cis,parda,superior
15,porque acho que o consumo excessivo de carne nao e sadio,essa_pesquisa,saude,eu acho que ja consumo pouca carne,homem_cis,preta,superior
16,eu gosto do gosto da carne mas acredito que a reducao da producao e consumo de carne e imprescindivel para mitigar as mudancas climaticas alem disso nao sinto necessidade de comer todo dia e acho o preparo nojento entao quando eu como e feito por outra pessoa,amigos,impacto_ambiental,"foi mais facil durante a pandemia porque as refeicões eram em casa, entao eu comprava o que eu gostaria de comer. antes da pandemia, e acredito que depois dela tambem, a principal dificuldade foi e sera encontrar opcões de refeicao sem carne nutritivas na rua.",mulher_cis,preta,mestrado
17,porque ainda como peixe,escola_universidade,impacto_ambiental,"dificuldade em comer na casa de outras pessoas, de variar o cardapio de fonte de proteina e de conseguir ingerir a quantidade ideal diaria de proteina",mulher_cis,branca,mestrado
18,porque venho tentando fazer uma alimentacao mais equilibrada  antes o consumo era diario,outros,saude,sentir muita fome entre almoco e cafe da tarde.,mulher_cis,branca,superior
19,porque nem todos os dias consumo animais ja retirei o consumo de carne de boi da minha dieta,essa_pesquisa,saude,pensar em opcões pra suprir as proteinas,mulher_cis,parda,doutorado
20,"sou intolerante a lactose entao tive que reinventar muita coisa na cozinha pra lidar com a ausencia de queijo e leite e assim aprendi a fazer ""ricota"" vegana de amendoas leite de aveia etc o que abriu o meu leque e instigou minha curiosidade para alimentos sem derivados de animais optei por retirar totalmente o consumo de carne 3 vezes na semana (segunda quarta e sexta) pois meu indice de colesterol e muito alterado alem da questao de saude tambem me incomodo muito com a forma de criacao e abatimento dos animais para consumo humano e me sinto mal ao contribuir pra que esse processo se perpetue ainda nao me sinto pronta para adotar uma dieta completamente vegana ou vegetariana mas penso nessa possibilidade no futuro",essa_pesquisa,saude,falta de criatividade para variar o cardapio,mulher_cis,branca,mestrado
21,nos últimos anos reduzi a quantidade de carne que eu como no almoco e quase eliminei na janta com os finais de semana sendo um tanto imprevisiveis no entanto nao tenho pretensões de me tornar vegetariano ou vegano devido ao grande planejamento gasto e sacrificio de prazeres pessoais e sociais que essa mudanca acarreta mas admiro a dedicacao de quem decide se tornar,midias,saude,um alimento que tenha de forma tao compacta e relativamente barata os conteúdos de ferro e proteina que a carne bovina tem.,homem_cis,branca,superior
22,porque o único animal que eu como e camarao e culinaria japonesa,essa_pesquisa,etica_animal,conseguir consumir a quantidade de vitaminas e proteinas necessarias para manter minha saúde em dia,mulher_cis,branca,superior
23,porque tomei consciencia de entender o caminho que existe ate virar meu alimento e a partir disso tento fazer escolhas melhores para minha saude dos animais e do planeta,midias,saude,"quantidade de proteina, dificuldade na digestao de graos, vitaminas e minerais baixos nos exames",mulher_cis,branca,medio
24,por tres razões: ecologica violencia com animais e por saude,essa_pesquisa,etica_animal,habito alimentar,mulher_cis,branca,superior
25,porque ja nao como nenhuma carne vermelha nem de porco ha 8 anos,outros,etica_animal,adaptar a alimentacao em casa,mulher_cis,branca,mestrado
26,porque eu nao como carne vermelha nem frango e nem porco mas como peixe,amigos,etica_animal,"foi uma transicao, fui reduzindo aos poucos",mulher_cis,branca,doutorado
27,me considero a caminho do veganismo nao me diria flextariana mas nao me considero vegana ainda por comer bichos e derivados em algumas ocasiões,midias,etica_animal,nenhuma,mulher_cis,branca,mestrado
28,porque reduzi o consumo de carne,outros,saude,gostar do sabor,homem_cis,branca,mestrado
29,por comer pouca carne e nao sentir falta na rotina mas ao mesmo tempo como por certas facilidades - ex quando vou comer na casa de outras pessoas,escola_universidade,impacto_ambiental,"conciliar com dias que como na casa de outras pessoas, como o que tem. e tbm por gostar muito de certas comidas que tem carne, como sushi e pamegiana",mulher_cis,branca,mestrado
30,porque nao consumo com frequencia e nao me faz tanta falta tendo um substituto,amigos,nda,nenhuma,mulher_cis,branca,superior
31,porque carne e cadaver,outros,aversao,conhecimento em como substituir,mulher_cis,parda,medio
32,nao sabia que eu era flexitariana descobri pela divulgacao da pesquisa decidi parar de comer alguns tipos de carne e embutidos por motivos politicos e de saude hoje em dia so como peixe e alguns frutos do mar algumas vezes no ano,essa_pesquisa,impacto_ambiental,gostar do sabor,mulher_cis,parda,superior
33,porque reduzi consicentemente o consumo de carne,amigos,impacto_ambiental,nenhuma,mulher_cis,branca,doutorado
34,porque consumo peixe eventualmente,midias,etica_animal,"acho que o que ainda precisamos e de mais opcões vegetarianas boa restaurantes. algumas cidades, principalmente no interior, tem pouquissimas opcões.",mulher_cis,branca,mestrado
35,porque sinto menos cansaco quando nao como muita carne nas refeicões e sei que e importante reduzir o consumo porquestoes ambientais e de saude por conta dos agrotoxicos e insumos no processo de producao,midias,saude,encontrar vegetais nao contaminados com agrotoxicos ou fruto de exploracao por parte de atravessadores.,homem_cis,parda,mestrado
36,porque como carne suina e frango caipira em media 5 vezes por ano,midias,impacto_ambiental,nao encontrar oferta de substitutos com facilidade e preco justo.,homem_cis,branca,superior
37,porque nao consigo deixar de comer carne mas tambem nao consigo comer todos os dias,amigos,saude,"morando em grandes centros e mais facil deixar de comer carne. morando sitio como vivo hoje, com animais criados soltos e com sabor melhor da carne, e mais dificil abandonar este habito.",mulher_cis,branca,superior
38,saude preco,essa_pesquisa,saude,encontrar substituto de facil acesso,homem_cis,parda,mestrado
39,nao,midias,impacto_ambiental,um substituto melhor,pnr,branca,mestrado
