text,reason
"porque a carne bovina de certa forma me faz mal deixa o intestino ""pesado"" e prefiro nao consumir caso tenham outras opcões",preocupação com a saúde ou ambiente
pois limitei o consumo para nao desenvolver acido úrico e por ver muitas reportagens sobre os maleficios do alto consumo de carne vermelha,preocupação com a saúde ou ambiente
so como carne quando nao ha alternativa nao tinha pensado ou conhecia essa terminologia sempre me denominei carnivora gosto de carne mas minha filha virou vegetariana entao eu acabei me adaptando e so como carne quando da vontade tipo em marco ate agora comi umas 5 vezes e hj ja e dia 24 de marco,diminui a frequência de consumo
ja uns anos desde a adolescencia (nos anos 2000) eu optei por reduzir o consumo de carne vermelha por nao gostar do sabor e de como eu fico depois que consumo o que nao ocorre tanto quando eu como frango porco (um pouco por causa da gordura) e peixe exceto da forma como as comidas sao temperadas ou cozidas so que tambem nao e algo que me faca falta e mesmo assim de vez em quando fico umas semanas sem consumir carne nenhuma,diminui a frequência de consumo
porque ao longo do tempo entendi que a reducao da carne e nao a extincao dela seriam a melhor solucao tambem vi que e super possivel saudavel e econômico,diminui a frequência de consumo
por causa da industria de alimentos do aquecimento global mais saude e por causa da expansao da linha dos pastos de agricultura na amazonia,preocupação com a saúde ou ambiente
na verdade venho tentando ser vegana ha anos consegui em 2015/2016 o zero consumo de carne depois por ter uma anemia que nao melhora - obs: minha b12 e perfeita - o medico pediu para eu introduzir um pouco de carne eu consumia apenas o frango e sempre do preferencia a ele nunca ingeri peixe outros animais com excecao do boi e frango (apenas partes magras) meu almoco ideal eh arroz e feijao com leguminosass as vezes junto da soja mas eventualmente na semana coloco carne coloquei a quantidade maxima mas tem semanas q eu nem como um dia se quer minha escolha eh porque tenho aversao a carne saber de onde veio/da producao e o que acontece com a vida animal pesquiso direito dos animais e sou mestranda na ufrn cada dia mais esse tema eh presente em minha vida no meu caso nao eh uma transicao para o veganismo eh mais o “o que eu consigo fazer eu faco” ja que me intitular vegana traz uma serie de outras obrigacões,exclui alguns animais
ja fui vegana mas parei quando engravidar quero voltar mas e muito dificil com uma crianca pequena,preocupação com a saúde ou ambiente
porque busco reduzir o consumo de carne para melhorar a saude,preocupação com a saúde ou ambiente
porque acho que o consumo excessivo de carne nao e sadio,preocupação com a saúde ou ambiente
eu gosto do gosto da carne mas acredito que a reducao da producao e consumo de carne e imprescindivel para mitigar as mudancas climaticas alem disso nao sinto necessidade de comer todo dia e acho o preparo nojento entao quando eu como e feito por outra pessoa,preocupação com a saúde ou ambiente
porque venho tentando fazer uma alimentacao mais equilibrada  antes o consumo era diario,diminui a frequência de consumo
porque nem todos os dias consumo animais ja retirei o consumo de carne de boi da minha dieta,exclui alguns animais
"sou intolerante a lactose entao tive que reinventar muita coisa na cozinha pra lidar com a ausencia de queijo e leite e assim aprendi a fazer ""ricota"" vegana de amendoas leite de aveia etc o que abriu o meu leque e instigou minha curiosidade para alimentos sem derivados de animais optei por retirar totalmente o consumo de carne 3 vezes na semana (segunda quarta e sexta) pois meu indice de colesterol e muito alterado alem da questao de saude tambem me incomodo muito com a forma de criacao e abatimento dos animais para consumo humano e me sinto mal ao contribuir pra que esse processo se perpetue ainda nao me sinto pronta para adotar uma dieta completamente vegana ou vegetariana mas penso nessa possibilidade no futuro",diminui a frequência de consumo
nos últimos anos reduzi a quantidade de carne que eu como no almoco e quase eliminei na janta com os finais de semana sendo um tanto imprevisiveis no entanto nao tenho pretensões de me tornar vegetariano ou vegano devido ao grande planejamento gasto e sacrificio de prazeres pessoais e sociais que essa mudanca acarreta mas admiro a dedicacao de quem decide se tornar,diminui a frequência de consumo
porque o único animal que eu como e camarao e culinaria japonesa,exclui alguns animais
porque tomei consciencia de entender o caminho que existe ate virar meu alimento e a partir disso tento fazer escolhas melhores para minha saude dos animais e do planeta,preocupação com a saúde ou ambiente
por tres razões: ecologica violencia com animais e por saude,preocupação com a saúde ou ambiente
porque ja nao como nenhuma carne vermelha nem de porco ha 8 anos,exclui alguns animais
porque eu nao como carne vermelha nem frango e nem porco mas como peixe,exclui alguns animais
me considero a caminho do veganismo nao me diria flextariana mas nao me considero vegana ainda por comer bichos e derivados em algumas ocasiões,diminui a frequência de consumo
por comer pouca carne e nao sentir falta na rotina mas ao mesmo tempo como por certas facilidades - ex quando vou comer na casa de outras pessoas,diminui a frequência de consumo
porque nao consumo com frequencia e nao me faz tanta falta tendo um substituto,diminui a frequência de consumo
nao sabia que eu era flexitariana descobri pela divulgacao da pesquisa decidi parar de comer alguns tipos de carne e embutidos por motivos politicos e de saude hoje em dia so como peixe e alguns frutos do mar algumas vezes no ano,exclui alguns animais
porque reduzi consicentemente o consumo de carne,diminui a frequência de consumo
porque sinto menos cansaco quando nao como muita carne nas refeicões e sei que e importante reduzir o consumo porquestoes ambientais e de saude por conta dos agrotoxicos e insumos no processo de producao,preocupação com a saúde ou ambiente
porque como carne suina e frango caipira em media 5 vezes por ano,diminui a frequência de consumo
porque nao consigo deixar de comer carne mas tambem nao consigo comer todos os dias,diminui a frequência de consumo
porque tenho uma tendencia a cada vez mais comer menos carne,diminui a frequência de consumo
contribuir com o meio ambiente diminuir o consumo de hormônios add as carnes e manter alimentacao saudavel e adequada,preocupação com a saúde ou ambiente
porque acho importante consumir pouca carne,diminui a frequência de consumo
porque eu me preocupo em reduzir o consumo de carne com motivacões relacionadas ao ambiente e com o bem-estar animal,preocupação com a saúde ou ambiente
por gosto (pouca afinidade com carne vermelha) e por consciencia ambiental (direito dos animais),outros
comecei a reduzir o consumo ao ter contato com pessoas vegetarianas/veganas que se preocupam com todo o contexto do animal e tambem por ter comecado a preparar refeicões,preocupação com a saúde ou ambiente
porque nao como carne vermelha nem de porco ha aproximadamente 4 anos,exclui alguns animais
porque evito carne ha muitos anos pelo sabor que nao me agrada,exclui alguns animais
porque alem da quantidade imensa de hormônios e antibioticos que possuem nas carnes o jeito como os animais sao confinados e o abate nao me agradam,preocupação com a saúde ou ambiente
acredito que reduzir o consumo de carne impacta positivamente na monha saude e na natureza,preocupação com a saúde ou ambiente
porque aos poucos tenho buscado reduzir o consumo de carne mas de maneira radical,diminui a frequência de consumo
porque em raros momentos do meu ano abro excecao para alguns alimentos com carne,diminui a frequência de consumo
porque nao como mais 2 vezes ao dia mas substituo varias vezes na semana por ovos e ate queijo e requeijao,diminui a frequência de consumo
porque cortei integralmente o consumo de carne vermelha e derivados e quando possivel opto por nao consumir nenhum tipo de carne alem de estar aberta ao consumo de preparacões e refeicões sem ingredientes de origem animal,exclui alguns animais
