Topic,Words,Frequency,Class,Name
-1,"vegetais, vegetariana, carne, alimentacao, carnes",41,homem_cis,-1_vegetariana_vegetais_alimentacao_carn...
0,"animais, alimentacao, pecuaria, ambientais, preocupacao",22,homem_cis,0_alimentacao_preocupacao_consumo_ambien...
1,"flexitariano, vegetarianismo, comendo, vegetariana, vegetariano",34,homem_cis,1_vegetarianismo_vegetariana_comendo_fle...
2,"carne, carnes, digestao, sensacao, sinto",11,homem_cis,2_carne_carnes_gosto_quero
3,"carne, carnes, porcao, ingestao, refeicao",7,homem_cis,3_carne_carnes_consumo_semana
4,"reduzindo, carne, reduzir, consumo, reduzido",32,homem_cis,4_reduzindo_reducao_reduzir_reduzido
-1,"vegetarianismo, diminuicao, porcao, consumo, prefiro",5,pnr,-1_vegetariana_vegetais_alimentacao_carn...
0,"ambientais, desmatamento, contaminacao, animais, impacto_ambiental",4,pnr,0_alimentacao_preocupacao_consumo_ambien...
1,"pesquisadora, entendendo, dissertacao, pesquisa, nao",1,pnr,1_vegetarianismo_vegetariana_comendo_fle...
2,"carne, carnes, estômago, digestao, muita",4,pnr,2_carne_carnes_gosto_quero
3,"comia, carne, carnes, comer, consumo",2,pnr,3_carne_carnes_consumo_semana
4,"reduzindo, reducao, reduzir, reduzido, carne",3,pnr,4_reduzindo_reducao_reduzir_reduzido
-1,"veganismo, alimentacao, galinhas, alimentos, carne",3,nao_binario,-1_vegetariana_vegetais_alimentacao_carn...
1,"comendo, carne, alimentacao, carnes, flexitariano",2,nao_binario,1_vegetarianismo_vegetariana_comendo_fle...
4,"diminuicao, alimentacao, reducao, transicao, consumo",2,nao_binario,4_reduzindo_reducao_reduzir_reduzido
-1,"vegetariana, vegetarianas, alimentacao, carne, carnes",162,mulher_cis,-1_vegetariana_vegetais_alimentacao_carn...
0,"alimentacao, animais, ambientais, consumo, preocupacao",94,mulher_cis,0_alimentacao_preocupacao_consumo_ambien...
1,"comendo, vegetariana, flexitariano, flexitariana, vegano",115,mulher_cis,1_vegetarianismo_vegetariana_comendo_fle...
2,"carne, carnes, gosto, quero, alimentos",44,mulher_cis,2_carne_carnes_gosto_quero
3,"carne, carnes, semana, alimentos, porcao",51,mulher_cis,3_carne_carnes_consumo_semana
4,"reduzindo, reducao, reduzir, vegetariana, reduzido",139,mulher_cis,4_reduzindo_reducao_reduzir_reduzido
