Topic,Words,Frequency,Class,Name
-1,"substituto, consumo, consumir, prefiro, alimentacao",1,nda,-1_vegetariana_vegetais_alimentacao_carn...
-1,"carne, vegetariana, vegetarianas, alimentacao, carnes",46,etica_animal,-1_vegetariana_vegetais_alimentacao_carn...
0,"animais, alimentacao, carne, ambientais, alimento",38,etica_animal,0_alimentacao_preocupacao_consumo_ambien...
1,"vegetarianismo, vegetariana, vegetariano, comendo, vegano",45,etica_animal,1_vegetarianismo_vegetariana_comendo_fle...
2,"carne, carnes, vegetariano, sinto, estômago",7,etica_animal,2_carne_carnes_gosto_quero
3,"carne, carnes, porcões, porcao, dieta",10,etica_animal,3_carne_carnes_consumo_semana
4,"reduzindo, reduzir, vegetarianos, carne, vegetariana",31,etica_animal,4_reduzindo_reducao_reduzir_reduzido
-1,"vegetariana, alimentacao, carne, recuso, feijao",10,aversao,-1_vegetariana_vegetais_alimentacao_carn...
0,"animais, digestao, alimentacao, carne, ambientais",3,aversao,0_alimentacao_preocupacao_consumo_ambien...
1,"comendo, vegetariana, vegetariano, alimentacao, vegano",7,aversao,1_vegetarianismo_vegetariana_comendo_fle...
2,"carne, carnes, quero, gosto, nao",13,aversao,2_carne_carnes_gosto_quero
3,"comia, carne, carnes, comer, porcao",1,aversao,3_carne_carnes_consumo_semana
4,"reduzindo, reducao, vegetais, reduzir, carne",6,aversao,4_reduzindo_reducao_reduzir_reduzido
-1,"vegetariana, carne, alimentacao, carnes, animais",72,impacto_ambiental,-1_vegetariana_vegetais_alimentacao_carn...
0,"alimentacao, ambientais, animais, carne, alimento",53,impacto_ambiental,0_alimentacao_preocupacao_consumo_ambien...
1,"vegetarianismo, comendo, vegetariana, vegetarianas, flexitariana",50,impacto_ambiental,1_vegetarianismo_vegetariana_comendo_fle...
2,"carne, vegetarianos, carnes, veganos, cozinhar",15,impacto_ambiental,2_carne_carnes_gosto_quero
3,"carne, carnes, semana, refeicao, alimentos",26,impacto_ambiental,3_carne_carnes_consumo_semana
4,"reduzindo, reducao, reduzir, reduzido, reduzo",70,impacto_ambiental,4_reduzindo_reducao_reduzir_reduzido
-1,"carne, carnes, alimentacao, nao, animais",3,religiao,-1_vegetariana_vegetais_alimentacao_carn...
0,"ambientais, animais, pessoal, saude, preocupacao",4,religiao,0_alimentacao_preocupacao_consumo_ambien...
1,"comendo, vegetarianas, vegetariana, vegano, vegana",10,religiao,1_vegetarianismo_vegetariana_comendo_fle...
2,"carne, carnes, gosto, sabor, quero",1,religiao,2_carne_carnes_gosto_quero
3,"carne, carnes, porcao, necessidade, segunda",3,religiao,3_carne_carnes_consumo_semana
4,"reduzindo, diminuicao, carne, consumo, substituicao",8,religiao,4_reduzindo_reducao_reduzir_reduzido
-1,"vegetarianas, vegetariana, vegetais, alimentacao, reduzindo",79,saude,-1_vegetariana_vegetais_alimentacao_carn...
0,"animais, alimentacao, preocupacao, saude, ambientais",22,saude,0_alimentacao_preocupacao_consumo_ambien...
1,"flexitariano, vegetariana, alimentacao, vegetariano, vegano",40,saude,1_vegetarianismo_vegetariana_comendo_fle...
2,"carne, carnivoro, carnes, estômago, digestao",23,saude,2_carne_carnes_gosto_quero
3,"carne, carnes, consumo, comer, consumir",20,saude,3_carne_carnes_consumo_semana
4,"reduzida, reduzindo, reducao, reduzir, reduzido",61,saude,4_reduzindo_reducao_reduzir_reduzido
